Date,DNI,data_value
2024-02-01 00:00:00,0.0,3.95
2024-02-01 00:30:00,0.0,3.38
2024-02-01 01:00:00,0.0,3.0
2024-02-01 01:30:00,0.0,2.78
2024-02-01 02:00:00,0.0,2.41
2024-02-01 02:30:00,0.0,1.4
2024-02-01 03:00:00,0.0,1.55
2024-02-01 03:30:00,0.0,0.96
2024-02-01 04:00:00,0.0,1.4
2024-02-01 04:30:00,0.0,0.9
2024-02-01 05:00:00,0.0,0.85
2024-02-01 05:30:00,0.0,0.63
2024-02-01 06:00:00,0.0,0.35
2024-02-01 06:30:00,0.0,0.06
2024-02-01 07:00:00,0.0,0.94
2024-02-01 07:30:00,0.0,-0.17
2024-02-01 08:00:00,6.0,-1.9
2024-02-01 08:30:00,71.0,2.3000000000000003
2024-02-01 09:00:00,124.0,-0.38
2024-02-01 09:30:00,179.0,6.2
2024-02-01 10:30:00,272.0,9.79
2024-02-01 11:00:00,304.0,7.640000000000001
2024-02-01 11:30:00,328.0,9.43
2024-02-01 12:00:00,330.0,13.27
2024-02-01 12:30:00,299.0,8.57
2024-02-01 13:00:00,320.0,9.96
2024-02-01 13:30:00,291.0,12.73
2024-02-01 14:00:00,261.0,12.72
2024-02-01 14:30:00,211.0,11.13
2024-02-01 15:00:00,164.0,9.76
2024-02-01 15:30:00,76.0,7.79
2024-02-01 16:00:00,27.0,6.22
2024-02-01 16:30:00,0.0,4.94
2024-02-01 17:00:00,0.0,4.18
2024-02-01 17:30:00,0.0,4.1
2024-02-01 18:00:00,0.0,3.87
2024-02-01 18:30:00,0.0,3.66
2024-02-01 19:00:00,0.0,3.47
2024-02-01 19:30:00,0.0,3.25
2024-02-01 20:00:00,0.0,3.04
2024-02-01 20:30:00,0.0,3.5
2024-02-01 21:00:00,0.0,3.36
2024-02-01 21:30:00,0.0,3.43
2024-02-01 22:00:00,0.0,3.06
2024-02-01 22:30:00,0.0,3.33
2024-02-01 23:00:00,0.0,-0.8
2024-02-01 23:30:00,0.0,4.21
2024-02-02 00:00:00,0.0,3.43
2024-02-02 00:30:00,0.0,3.49
2024-02-02 01:00:00,0.0,4.08
2024-02-02 01:30:00,0.0,4.49
2024-02-02 02:00:00,0.0,4.9
2024-02-02 02:30:00,0.0,5.36
2024-02-02 03:00:00,0.0,5.83
2024-02-02 03:30:00,0.0,6.46
2024-02-02 04:00:00,0.0,7.09
2024-02-02 04:30:00,0.0,7.58
2024-02-02 05:00:00,0.0,8.07
2024-02-02 05:30:00,0.0,8.21
2024-02-02 06:00:00,0.0,8.34
2024-02-02 06:30:00,0.0,8.44
2024-02-02 07:00:00,0.0,8.52
2024-02-02 07:30:00,0.0,8.43
2024-02-02 08:00:00,2.0,8.35
2024-02-02 08:30:00,40.0,9.11
2024-02-02 09:00:00,73.0,9.38
2024-02-02 09:30:00,53.0,9.87
2024-02-02 10:00:00,74.0,11.74
2024-02-02 10:30:00,133.0,12.32
2024-02-02 11:00:00,82.0,12.53
2024-02-02 11:30:00,112.0,14.2
2024-02-02 12:00:00,275.0,15.54
2024-02-02 12:30:00,290.0,15.1
2024-02-02 13:00:00,312.0,13.72
2024-02-02 13:30:00,296.0,13.99
2024-02-02 14:00:00,262.0,14.43
2024-02-02 14:30:00,219.0,13.24
2024-02-02 15:00:00,165.0,11.7
2024-02-02 15:30:00,85.0,11.15
2024-02-02 16:00:00,22.0,10.18
2024-02-02 16:30:00,0.0,10.34
2024-02-02 17:00:00,0.0,10.17
2024-02-02 17:30:00,0.0,10.06
2024-02-02 18:00:00,0.0,7.930000000000001
2024-02-02 18:30:00,0.0,9.36
2024-02-02 19:00:00,0.0,7.44
2024-02-02 19:30:00,0.0,9.62
2024-02-02 20:00:00,0.0,8.92
2024-02-02 20:30:00,0.0,8.61
2024-02-02 21:00:00,0.0,8.77
2024-02-02 21:30:00,0.0,8.34
2024-02-02 22:00:00,0.0,8.34
2024-02-02 22:30:00,0.0,8.43
2024-02-02 23:00:00,0.0,8.49
2024-02-02 23:30:00,0.0,5.44
2024-02-03 00:00:00,0.0,9.88
2024-02-03 00:30:00,0.0,9.8
2024-02-03 01:00:00,0.0,9.73
2024-02-03 01:30:00,0.0,9.59
2024-02-03 02:00:00,0.0,9.46
2024-02-03 02:30:00,0.0,9.42
2024-02-03 03:00:00,0.0,6.4
2024-02-03 03:30:00,0.0,5.83
2024-02-03 04:00:00,0.0,6.34
2024-02-03 04:30:00,0.0,9.18
2024-02-03 05:00:00,0.0,8.68
2024-02-03 05:30:00,0.0,9.5
2024-02-03 06:00:00,0.0,9.43
2024-02-03 06:30:00,0.0,5.87
2024-02-03 07:00:00,0.0,5.38
2024-02-03 07:30:00,0.0,5.1000000000000005
2024-02-03 08:00:00,10.0,7.24
2024-02-03 08:30:00,48.0,10.68
2024-02-03 09:00:00,65.0,11.4
2024-02-03 09:30:00,34.0,11.69
2024-02-03 10:00:00,50.0,12.05
2024-02-03 10:30:00,61.0,13.07
2024-02-03 11:00:00,39.0,13.75
2024-02-03 11:30:00,118.0,14.58
2024-02-03 12:00:00,100.0,15.14
2024-02-03 12:30:00,170.0,15.65
2024-02-03 13:00:00,78.0,14.74
2024-02-03 13:30:00,95.0,14.95
2024-02-03 14:00:00,111.0,14.39
2024-02-03 14:30:00,49.0,13.42
2024-02-03 15:00:00,55.0,12.66
2024-02-03 15:30:00,68.0,3.64
2024-02-03 16:00:00,25.0,11.59
2024-02-03 16:30:00,0.0,10.83
2024-02-03 17:00:00,0.0,10.59
2024-02-03 17:30:00,0.0,10.46
2024-02-03 18:00:00,0.0,10.34
2024-02-03 18:30:00,0.0,10.17
2024-02-03 19:00:00,0.0,9.98
2024-02-03 19:30:00,0.0,9.33
2024-02-03 20:00:00,0.0,9.29
2024-02-03 20:30:00,0.0,9.48
2024-02-03 21:00:00,0.0,8.68
2024-02-03 21:30:00,0.0,8.27
2024-02-03 22:00:00,0.0,7.9
2024-02-03 22:30:00,0.0,7.99
2024-02-03 23:00:00,0.0,8.09
2024-02-03 23:30:00,0.0,8.07
2024-02-04 00:00:00,0.0,8.47
2024-02-04 00:30:00,0.0,8.41
2024-02-04 01:00:00,0.0,8.950000000000001
2024-02-04 01:30:00,0.0,8.27
2024-02-04 02:00:00,0.0,7.03
2024-02-04 02:30:00,0.0,7.54
2024-02-04 03:00:00,0.0,6.9
2024-02-04 03:30:00,0.0,7.13
2024-02-04 04:00:00,0.0,7.85
2024-02-04 04:30:00,0.0,8.19
2024-02-04 05:00:00,0.0,8.53
2024-02-04 05:30:00,0.0,8.89
2024-02-04 06:00:00,0.0,9.26
2024-02-04 06:30:00,0.0,9.69
2024-02-04 07:00:00,0.0,9.82
2024-02-04 07:30:00,0.0,9.86
2024-02-04 08:00:00,6.0,9.95
2024-02-04 08:30:00,28.0,10.34
2024-02-04 09:00:00,67.0,11.05
2024-02-04 09:30:00,85.0,11.65
2024-02-04 10:00:00,81.0,12.6
2024-02-04 10:30:00,137.0,13.1
2024-02-04 11:00:00,140.0,13.26
2024-02-04 11:30:00,163.0,14.1
2024-02-04 12:00:00,153.0,14.39
2024-02-04 12:30:00,151.0,13.97
2024-02-04 13:00:00,103.0,13.61
2024-02-04 13:30:00,51.0,12.73
2024-02-04 14:00:00,36.0,12.63
2024-02-04 14:30:00,19.0,11.48
2024-02-04 15:00:00,15.0,11.13
2024-02-04 15:30:00,10.0,10.93
2024-02-04 16:00:00,6.0,11.11
2024-02-04 16:30:00,0.0,10.59
2024-02-04 17:00:00,0.0,9.62
2024-02-04 17:30:00,0.0,9.16
2024-02-04 18:00:00,0.0,9.25
2024-02-04 18:30:00,0.0,8.99
2024-02-04 19:00:00,0.0,4.86
2024-02-04 19:30:00,0.0,3.78
2024-02-04 20:00:00,0.0,8.28
2024-02-04 20:30:00,0.0,4.73
2024-02-04 21:00:00,0.0,7.26
2024-02-04 21:30:00,0.0,7.31
2024-02-04 22:00:00,0.0,7.36
2024-02-04 22:30:00,0.0,7.23
2024-02-04 23:00:00,0.0,7.1000000000000005
2024-02-04 23:30:00,0.0,7.13
2024-02-05 00:00:00,0.0,4.55
2024-02-05 00:30:00,0.0,4.58
2024-02-05 01:00:00,0.0,7.56
2024-02-05 01:30:00,0.0,7.48
2024-02-05 02:00:00,0.0,7.4
2024-02-05 02:30:00,0.0,7.36
2024-02-05 03:00:00,0.0,7.31
2024-02-05 03:30:00,0.0,7.26
2024-02-05 04:00:00,0.0,6.8100000000000005
2024-02-05 04:30:00,0.0,6.640000000000001
2024-02-05 05:00:00,0.0,6.99
2024-02-05 05:30:00,0.0,6.99
2024-02-05 06:00:00,0.0,6.53
2024-02-05 06:30:00,0.0,5.59
2024-02-05 07:00:00,0.0,6.67
2024-02-05 07:30:00,0.0,7.16
2024-02-05 08:00:00,18.0,5.76
2024-02-05 08:30:00,88.0,5.61
2024-02-05 09:00:00,149.0,4.67
2024-02-05 09:30:00,151.0,10.29
2024-02-05 10:00:00,145.0,10.23
2024-02-05 10:30:00,134.0,10.9
2024-02-05 11:00:00,140.0,11.53
2024-02-05 11:30:00,67.0,11.33
2024-02-05 12:00:00,69.0,12.22
2024-02-05 12:30:00,59.0,12.11
2024-02-05 13:00:00,64.0,12.19
2024-02-05 13:30:00,46.0,11.72
2024-02-05 14:00:00,38.0,11.43
2024-02-05 14:30:00,40.0,11.23
2024-02-05 15:00:00,41.0,11.23
2024-02-05 16:00:00,15.0,10.37
2024-02-05 16:30:00,0.0,10.09
2024-02-05 17:00:00,0.0,9.8
2024-02-05 17:30:00,0.0,9.69
2024-02-05 18:00:00,0.0,9.57
2024-02-05 18:30:00,0.0,9.2
2024-02-05 19:00:00,0.0,9.23
2024-02-05 19:30:00,0.0,9.21
2024-02-05 20:00:00,0.0,9.19
2024-02-05 20:30:00,0.0,9.51
2024-02-05 21:00:00,0.0,9.42
2024-02-05 21:30:00,0.0,9.76
2024-02-05 22:00:00,0.0,10.1
